polstn,pol,stn,stn_no,lat,lon,tribmarsh,region,loc,loc_code,habitat,tidesta,station_name
BAIR 1,Legacy,BAIR 1,1,,,Bair Island,South Bay,Redwood Creek,RED,unkown,,
BAIR 2,Legacy,BAIR 2,2,,,Bair Island,South Bay,Redwood Creek,RED,unkown,,
BOA LAU,Legacy,BOA LAU,,,,Bair Island,South Bay,Redwood Creek,RED,unkown,,
China Camp,Legacy,China Camp,,,,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"POINT SAN PEDRO, SAN FRANCISCO BAY",9415009
CORK 1,Legacy,CORK 1,1,,,Bair Island,South Bay,Corkscrew Slough,CRK,unkown,,
CORK 2,Legacy,CORK 2,2,,,Bair Island,South Bay,Corkscrew Slough,CRK,unkown,,
CORK 3,Legacy,CORK 3,3,,,Bair Island,South Bay,Corkscrew Slough,CRK,unkown,,
FAG 1,Legacy,FAG 1,1,38.2121,-122.292783,Napa River,North Bay,Fagan Slough,FAG,Slough Adjacent to Restoration Pond,,
FAGAN,Legacy,FAGAN,,,,Napa River,North Bay,Fagan Slough,FAG,Slough Adjacent to Restoration Pond,,
FAGSL,Legacy,FAGSL,,,,Napa River,North Bay,Fagan Slough,FAG,Slough Adjacent to Restoration Pond,,
FAGSL,Legacy,FAGSL,,,,Napa River,North Bay,Fagan Slough,FAG,Slough Adjacent to Restoration Pond,,
GOLD 1,Legacy,GOLD 1,1,,,Bair Island,South Bay,Gold Slough,GLD,unkown,,
GOLD 2,Legacy,GOLD 2,2,,,Bair Island,South Bay,Gold Slough,GLD,unkown,,
GOLD 3,Legacy,GOLD 3,3,,,Bair Island,South Bay,Gold Slough,GLD,unkown,,
GOLD 4,Legacy,GOLD 4,4,,,Bair Island,South Bay,Gold Slough,GLD,unkown,,
IB 1,Legacy,IB 1,1,,,Bair Island,South Bay,Inner Bair Isl.,BRI,unkown,,
IB 2,Legacy,IB 2,2,,,Bair Island,South Bay,Inner Bair Isl.,BRI,unkown,,
LNAP 1,Legacy,LNAP 1,1,,,Napa River,North Bay,Napa River,NPR,unkown,,
MUD 1,Legacy,MUD 1,1,38.204267,-122.32375,Napa River,North Bay,Mud Slough Napa,MDN,Slough Adjacent to Restoration Pond,,
MUDSL,Legacy,MUDSL,,,,Napa River,North Bay,Mud Slough Napa,MDN,Slough Adjacent to Restoration Pond,,
NAP 1,Legacy,NAP 1,1,38.190583,-122.347617,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAP 2,Legacy,NAP 2,2,38.189833,-122.3426,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAP 3,Legacy,NAP 3,3,38.26836,-122.28629,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAP 4,Legacy,NAP 4,4,38.25985,-122.2864,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAP 5,Legacy,NAP 5,5,38.23605,-122.28762,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAP 6,Legacy,NAP 6,6,38.23093,-122.29712,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAP 7,Legacy,NAP 7,7,38.22124,-122.31002,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAP 8,Legacy,NAP 8,8,38.21204,-122.293,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPR,Legacy,NAPR,,38.26634,-122.286,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPR 1,Legacy,NAPR 1,1,38.26634,-122.286,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPR 2,Legacy,NAPR 2,2,38.25166,-122.29369,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPR 3,Legacy,NAPR 3,3,38.2269,-122.30267,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPR 4,Legacy,NAPR 4,4,38.2139,-122.30888,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPR 5,Legacy,NAPR 5,5,38.19768,-122.31477,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPS 1,Legacy,NAPS 1,1,38.18413,-122.32123,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPS 2,Legacy,NAPS 2,2,38.19069,-122.32746,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPS 3,Legacy,NAPS 3,3,38.191,-122.33732,Napa River,North Bay,Napa River,NPR,Mainstem,,
NAPS 4,Legacy,NAPS 4,4,38.19001,-122.34489,Napa River,North Bay,Napa River,NPR,Mainstem,,
NB-100,NB-100,NA,NA,38.311988,-122.277715,Napa River,North Bay,Napa River,NPR,Mainstem,"NAPA, NAPA RIVER",9415623
NB-1000,NB-1000,NA,NA,38.105254,-122.486807,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1001,NB-1001,NA,NA,38.109853,-122.484802,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1002,NB-1002,NA,NA,38.114048,-122.480597,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1003,NB-1003,NA,NA,38.094885,-122.483339,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1004,NB-1004,NA,NA,38.100861,-122.478377,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1005,NB-1005,NA,NA,38.107429,-122.472833,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1006,NB-1006,NA,NA,38.114268,-122.46608,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1007,NB-1007,NA,NA,38.084165,-122.478934,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1008,NB-1008,NA,NA,38.094845,-122.471234,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1009,NB-1009,NA,NA,38.102262,-122.463257,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1010,NB-1010,NA,NA,38.11244,-122.455283,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,PETALUMA RIVER ENTRANCE,9415252
NB-1011,NB-1011,NA,NA,38.14854,-122.40052,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1012,NB-1012,NA,NA,38.140955,-122.402968,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1013,NB-1013,NA,NA,38.142053,-122.392817,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1014,NB-1014,NA,NA,38.147185,-122.389845,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1015,NB-1015,NA,NA,38.132162,-122.412092,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1016,NB-1016,NA,NA,38.132525,-122.397367,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1017,NB-1017,NA,NA,38.135877,-122.38503,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1018,NB-1018,NA,NA,38.141239,-122.376471,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1019,NB-1019,NA,NA,38.125298,-122.418665,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1020,NB-1020,NA,NA,38.125982,-122.395758,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1021,NB-1021,NA,NA,38.129368,-122.372003,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1022,NB-1022,NA,NA,38.136374,-122.366297,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1023,NB-1023,NA,NA,38.130953,-122.354866,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1024,NB-1024,NA,NA,38.127863,-122.34113,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1025,NB-1025,NA,NA,38.116144,-122.440891,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1026,NB-1026,NA,NA,38.117506,-122.427253,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1027,NB-1027,NA,NA,38.117933,-122.414268,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1028,NB-1028,NA,NA,38.118332,-122.402034,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1029,NB-1029,NA,NA,38.118749,-122.389048,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1030,NB-1030,NA,NA,38.119185,-122.375432,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1031,NB-1031,NA,NA,38.119644,-122.360987,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1032,NB-1032,NA,NA,38.120084,-122.347272,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1033,NB-1033,NA,NA,38.120348,-122.335442,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1034,NB-1034,NA,NA,38.119213,-122.324311,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1035,NB-1035,NA,NA,38.10816,-122.450688,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1036,NB-1036,NA,NA,38.108812,-122.440283,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1037,NB-1037,NA,NA,38.109215,-122.427206,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1038,NB-1038,NA,NA,38.109606,-122.414204,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1039,NB-1039,NA,NA,38.109979,-122.401963,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1040,NB-1040,NA,NA,38.110368,-122.388992,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
NB-1041,NB-1041,NA,NA,38.110776,-122.375335,San Pablo Bay,North Bay,San Pablo Bay,SPB,Open Bay,"Pinole Point, San Pablo Bay",9415056
