"","ï..polstn","pol","stn","stn_no","lat","lon","tribmarsh","region","loc","loc_code","habitat","tidesta","station_name"
"1","BAIR 1","Legacy","BAIR 1","1",NA,NA,"Bair Island","South Bay","Redwood Creek","RED","unkown","",""
"2","BAIR 2","Legacy","BAIR 2","2",NA,NA,"Bair Island","South Bay","Redwood Creek","RED","unkown","",""
"3","BOA LAU","Legacy","BOA LAU","",NA,NA,"Bair Island","South Bay","Redwood Creek","RED","unkown","",""
"4","China Camp","Legacy","China Camp","",NA,NA,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","POINT SAN PEDRO, SAN FRANCISCO BAY","9415009"
"5","CORK 1","Legacy","CORK 1","1",NA,NA,"Bair Island","South Bay","Corkscrew Slough","CRK","unkown","",""
"6","CORK 2","Legacy","CORK 2","2",NA,NA,"Bair Island","South Bay","Corkscrew Slough","CRK","unkown","",""
"7","CORK 3","Legacy","CORK 3","3",NA,NA,"Bair Island","South Bay","Corkscrew Slough","CRK","unkown","",""
"8","FAG 1","Legacy","FAG 1","1",38.2124731982154,-122.2929395838,"Napa River","North Bay","Fagan Slough","FAG","Slough Adjacent to Restoration Pond","",""
"9","FAGAN","Legacy","FAGAN","",NA,NA,"Napa River","North Bay","Fagan Slough","FAG","Slough Adjacent to Restoration Pond","",""
"10","FAGSL","Legacy","FAGSL","",NA,NA,"Napa River","North Bay","Fagan Slough","FAG","Slough Adjacent to Restoration Pond","",""
"11","FAGSL","Legacy","FAGSL","",NA,NA,"Napa River","North Bay","Fagan Slough","FAG","Slough Adjacent to Restoration Pond","",""
"12","GOLD 1","Legacy","GOLD 1","1",NA,NA,"Bair Island","South Bay","Gold Slough","GLD","unkown","",""
"13","GOLD 2","Legacy","GOLD 2","2",NA,NA,"Bair Island","South Bay","Gold Slough","GLD","unkown","",""
"14","GOLD 3","Legacy","GOLD 3","3",NA,NA,"Bair Island","South Bay","Gold Slough","GLD","unkown","",""
"15","GOLD 4","Legacy","GOLD 4","4",NA,NA,"Bair Island","South Bay","Gold Slough","GLD","unkown","",""
"16","IB 1","Legacy","IB 1","1",NA,NA,"Bair Island","South Bay","Inner Bair Isl.","BRI","unkown","",""
"17","IB 2","Legacy","IB 2","2",NA,NA,"Bair Island","South Bay","Inner Bair Isl.","BRI","unkown","",""
"18","LNAP 1","Legacy","LNAP 1","1",NA,NA,"Napa River","North Bay","Napa River","NPR","unkown","",""
"19","MUD 1","Legacy","MUD 1","1",38.1996673036092,-122.323918304648,"Napa River","North Bay","Mud Slough Napa","MDN","Slough Adjacent to Restoration Pond","",""
"20","MUDSL","Legacy","MUDSL","",NA,NA,"Napa River","North Bay","Mud Slough Napa","MDN","Slough Adjacent to Restoration Pond","",""
"21","NAP 1","Legacy","NAP 1","1",38.1946441795546,-122.347091387025,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"22","NAP 2","Legacy","NAP 2","2",38.190672896719,-122.346865228838,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"23","NAP 3","Legacy","NAP 3","3",38.2692630105406,-122.283966851659,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"24","NAP 4","Legacy","NAP 4","4",38.2559382188845,-122.286315034715,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"25","NAP 5","Legacy","NAP 5","5",38.2393018531196,-122.284363389748,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"26","NAP 6","Legacy","NAP 6","6",38.2341469215335,-122.292593860947,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"27","NAP 7","Legacy","NAP 7","7",38.2242070795193,-122.313697804675,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"28","NAP 8","Legacy","NAP 8","8",38.216166212392,-122.290185125626,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"29","NAPR","Legacy","NAPR","",38.2690427103491,-122.290665695271,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"30","NAPR 1","Legacy","NAPR 1","1",38.2643614216956,-122.288299217011,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"31","NAPR 2","Legacy","NAPR 2","2",38.255124588942,-122.295489163993,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"32","NAPR 3","Legacy","NAPR 3","3",38.2303309807606,-122.297739975411,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"33","NAPR 4","Legacy","NAPR 4","4",38.2148616284305,-122.313250392433,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"34","NAPR 5","Legacy","NAPR 5","5",38.1930798963255,-122.310266120737,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"35","NAPS 1","Legacy","NAPS 1","1",38.1847431120492,-122.32617192282,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"36","NAPS 2","Legacy","NAPS 2","2",38.1872297427231,-122.32956595822,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"37","NAPS 3","Legacy","NAPS 3","3",38.1954583678455,-122.339673423692,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"38","NAPS 4","Legacy","NAPS 4","4",38.187474675284,-122.348404950322,"Napa River","North Bay","Napa River","NPR","Mainstem","",""
"39","NB-100","NB-100",NA,NA,38.3140691208384,-122.276251709698,"Napa River","North Bay","Napa River","NPR","Mainstem","NAPA, NAPA RIVER","9415623"
"40","NB-1000","NB-1000",NA,NA,38.1010104789942,-122.48543525884,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"41","NB-1001","NB-1001",NA,NA,38.1136450066155,-122.488787146896,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"42","NB-1002","NB-1002",NA,NA,38.1103298288198,-122.478744999027,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"43","NB-1003","NB-1003",NA,NA,38.0905581862226,-122.480699918273,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"44","NB-1004","NB-1004",NA,NA,38.0999877463937,-122.475700174493,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"45","NB-1005","NB-1005",NA,NA,38.1039162521604,-122.47285499566,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"46","NB-1006","NB-1006",NA,NA,38.1104237591613,-122.469843346837,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"47","NB-1007","NB-1007",NA,NA,38.0816492162523,-122.482053629456,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"48","NB-1008","NB-1008",NA,NA,38.0951957012967,-122.472325105219,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"49","NB-1009","NB-1009",NA,NA,38.1066866664061,-122.460747643326,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"50","NB-1010","NB-1010",NA,NA,38.1114641613565,-122.458136798782,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","PETALUMA RIVER ENTRANCE","9415252"
"51","NB-1011","NB-1011",NA,NA,38.1482973437938,-122.401906502071,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"52","NB-1012","NB-1012",NA,NA,38.1365302349738,-122.40768187113,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"53","NB-1013","NB-1013",NA,NA,38.1371648458458,-122.391350277882,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"54","NB-1014","NB-1014",NA,NA,38.1441222883323,-122.391471478024,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"55","NB-1015","NB-1015",NA,NA,38.1350772929364,-122.40942511736,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"56","NB-1016","NB-1016",NA,NA,38.1304555147566,-122.397953043384,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"57","NB-1017","NB-1017",NA,NA,38.1336472712384,-122.380733630233,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"58","NB-1018","NB-1018",NA,NA,38.1426053032535,-122.378002176039,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"59","NB-1019","NB-1019",NA,NA,38.1272612632076,-122.420856290087,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"60","NB-1020","NB-1020",NA,NA,38.1244045387336,-122.391776909244,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"61","NB-1021","NB-1021",NA,NA,38.1264175927264,-122.375811296302,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"62","NB-1022","NB-1022",NA,NA,38.137943239907,-122.364827836836,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"63","NB-1023","NB-1023",NA,NA,38.1296547672835,-122.356906633936,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"64","NB-1024","NB-1024",NA,NA,38.1285804941711,-122.342557595257,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"65","NB-1025","NB-1025",NA,NA,38.1129375733451,-122.442438442288,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"66","NB-1026","NB-1026",NA,NA,38.1204816215261,-122.424245014896,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"67","NB-1027","NB-1027",NA,NA,38.1213698286864,-122.409871924703,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"68","NB-1028","NB-1028",NA,NA,38.1233220746136,-122.399837926959,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"69","NB-1029","NB-1029",NA,NA,38.1172014189215,-122.391154213355,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"70","NB-1030","NB-1030",NA,NA,38.1174997275611,-122.373894663612,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"71","NB-1031","NB-1031",NA,NA,38.1220427390357,-122.363745129656,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"72","NB-1032","NB-1032",NA,NA,38.1239247409331,-122.348944929309,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"73","NB-1033","NB-1033",NA,NA,38.125279896599,-122.332054837967,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"74","NB-1034","NB-1034",NA,NA,38.1237310074452,-122.321700947416,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"75","NB-1035","NB-1035",NA,NA,38.1059745743674,-122.44770025881,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"76","NB-1036","NB-1036",NA,NA,38.1098727766057,-122.438123585054,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"77","NB-1037","NB-1037",NA,NA,38.1067217349267,-122.425946900687,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"78","NB-1038","NB-1038",NA,NA,38.111113214806,-122.415267200142,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"79","NB-1039","NB-1039",NA,NA,38.1088095842108,-122.404504938769,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"80","NB-1040","NB-1040",NA,NA,38.1144796393195,-122.390859218127,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"81","NB-1041","NB-1041",NA,NA,38.1125492094438,-122.376863159929,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"82","NB-1042","NB-1042",NA,NA,38.1090587710079,-122.363803167927,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"83","NB-1043","NB-1043",NA,NA,38.1114737001217,-122.342088505089,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"84","NB-1044","NB-1044",NA,NA,38.1156246003713,-122.336651742958,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"85","NB-1045","NB-1045",NA,NA,38.1154217658771,-122.320610864241,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"86","NB-1046","NB-1046",NA,NA,38.1161480961214,-122.306675325992,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"87","NB-1047","NB-1047",NA,NA,38.1048187002281,-122.448473387055,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"88","NB-1048","NB-1048",NA,NA,38.0980258162825,-122.44181513361,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"89","NB-1049","NB-1049",NA,NA,38.1019721554652,-122.427985024015,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"90","NB-1050","NB-1050",NA,NA,38.103911402857,-122.411783981441,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"91","NB-1051","NB-1051",NA,NA,38.0976820050115,-122.399023488589,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"92","NB-1052","NB-1052",NA,NA,38.0999343608725,-122.389057529522,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"93","NB-1053","NB-1053",NA,NA,38.1017604191898,-122.375635564777,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"94","NB-1054","NB-1054",NA,NA,38.1021514958819,-122.361126549529,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"95","NB-1055","NB-1055",NA,NA,38.1019136920413,-122.341830166075,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"96","NB-1056","NB-1056",NA,NA,38.0985609963362,-122.330727748695,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"97","NB-1057","NB-1057",NA,NA,38.1032635924932,-122.321629961645,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
"98","NB-1058","NB-1058",NA,NA,38.104434992199,-122.306220948199,"San Pablo Bay","North Bay","San Pablo Bay","SPB","Open Bay","Pinole Point, San Pablo Bay","9415056"
