"polstn","towdate","month","year","lat","lon","tribmarsh","region","loc","habitat","m_secchi","m_sal","m_doc","m_temp"
"FAG 1",2015-01-03,"01","2015",38.2121,-122.292783,"Napa River","North Bay","Fagan Slough","Slough Adjacent to Restoration Pond",21,4.8,2.4625,7.4
"FAG 1",2015-02-14,"02","2015",38.2121,-122.292783,"Napa River","North Bay","Fagan Slough","Slough Adjacent to Restoration Pond",35,6.1,1.5075,17.7
"FAG 1",2015-04-23,"04","2015",38.2121,-122.292783,"Napa River","North Bay","Fagan Slough","Slough Adjacent to Restoration Pond",29,16.2,9.08,17.4
"FAG 1",2015-08-12,"08","2015",38.2121,-122.292783,"Napa River","North Bay","Fagan Slough","Slough Adjacent to Restoration Pond",45.5,25.3,6.785,21.3
"MUD 1",2010-12-10,"12","2010",38.204267,-122.32375,"Napa River","North Bay","Mud Slough Napa","Slough Adjacent to Restoration Pond",23,7.4,4.39,15.2
"MUD 1",2015-01-03,"01","2015",38.204267,-122.32375,"Napa River","North Bay","Mud Slough Napa","Slough Adjacent to Restoration Pond",18,6,2.55,8.1
"NAP 1",2015-01-03,"01","2015",38.190583,-122.347617,"Napa River","North Bay","Napa River","Mainstem",25,7.5,2.52,8.8
"NAP 1",2015-03-05,"03","2015",38.190583,-122.347617,"Napa River","North Bay","Napa River","Mainstem",70,0.6,11.775,13
"NAP 1",2015-08-12,"08","2015",38.190583,-122.347617,"Napa River","North Bay","Napa River","Mainstem",63.75,22.35,3.64875,22.95
"NAP 1",2015-09-11,"09","2015",38.190583,-122.347617,"Napa River","North Bay","Napa River","Mainstem",58,23.6,5.7,23.55
"NAP 1",2015-10-20,"10","2015",38.190583,-122.347617,"Napa River","North Bay","Napa River","Mainstem",122.5,23,4.7875,20.3
"NAP 1",2015-11-13,"11","2015",38.190583,-122.347617,"Napa River","North Bay","Napa River","Mainstem",180,NA,NA,14
"NAP 2",2015-01-03,"01","2015",38.189833,-122.3426,"Napa River","North Bay","Napa River","Mainstem",30,8.1,2.4025,9.6
